registry_id,hospital_name,state,lga,facility_level,facility_level_option,ownership,ownership_type,bed_count,doctor_count,nurse_count,ambulance_count,has_emergency_unit,has_operating_theatre,has_icu,has_blood_bank,source
05/07/1/1/1/0037,Kutunas Primary Health Clinic,Bauchi,Gamawa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0024,Gwarbatu Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/07/1/1/1/0007,Bulaburin Health Post,Bauchi,Gamawa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0001,Abbari Health Clinic,Bauchi,Itas/Gadau,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0004,Baya Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0072,Yanda Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0006,Buri Buri Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0069,Wushi Primary Health Center,Bauchi,Ganjuwa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0016,Dirya Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0032,Kakkuma Primary Health Center,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0048,Masuwa Primary Health Center,Bauchi,Ganjuwa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0059,Shila Primary Health Center,Bauchi,Ganjuwa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0067,Tsagu Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0021,Gala Primary Health Clinic,Bauchi,Ganjuwa,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0008,Buzum Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0040,Lafiyari Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0041,Loyi Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0055,Rudubida Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0018,Dumun Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0058,Sakarumbu Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0005,Bunga Primary Health Center,Bauchi,Ganjuwa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0065,Taka Tabo Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0001,Sabuwar Karia Primary Health Care Center,Bauchi,Ganjuwa,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/08/1/1/1/0078,Zuru Health Post,Bauchi,Ganjuwa,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0030,Yarimari Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0019,Korawa Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0016,Kafin Hardo Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0025,Rumbuna Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0023,Magarya Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/09/1/1/1/0024,Mainamalari Health Post,Bauchi,Giade,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/10/1/1/1/0018,Itas Health Post,Bauchi,Itas/Gadau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0032,Gilar Primary Health Clinic,Bauchi,Jama'Are,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0003,Changamawa Primary Health Center,Bauchi,Jama'Are,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0005,Fetere Health Post,Bauchi,Jama'Are,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0014,Kesowo Primary Health Center,Bauchi,Jama'Are,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0013,Kamaku Primary Health Clinic,Bauchi,Jama'Are,Primary,Primary Health Clinic,Public,Local Government,6,1,4,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/11/1/1/1/0012,Jobbori Primary Health Center,Bauchi,Jama'Are,Primary,Primary Health Center,Public,Local Government,12,2,8,1,True,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/12/1/1/1/0009,Chinade Health Clinic,Bauchi,Katagum,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/14/1/1/1/0030,Kafin Zaka Health Post,Bauchi,Misau,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
05/12/1/1/1/0001,Adamoyel Health Post,Bauchi,Katagum,Primary,Health Post,Public,Local Government,0,0,2,0,False,False,False,False,GRID3/NHFR 2024 facility level with capacity baseline proxy
